                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.86247,                 1.4293,                0.59628,                 1.0366,                0.87886,                0.86044,                0.91867,                0.70159,                0.87501,                0.85446,                0.90698,                0.62942,                0.89092,                  1.596,                0.62202,                 1.0529,              0.0008318,              0.0008318,              0.0008318
                     62,                0.84435,                 1.4042,                0.56577,                 1.0202,                0.87174,                0.86898,                 0.9174,                0.70325,                0.87003,                0.85603,                0.90846,                0.63124,                0.89031,                 1.5739,                0.62067,                 1.0521,               0.000812,               0.000812,               0.000812
                     63,                0.83933,                 1.3928,                0.57046,                 1.0291,                0.87663,                0.87431,                0.91876,                0.70581,                 0.8718,                0.86898,                0.91144,                 0.6318,                 0.9023,                 1.6013,                0.60059,                 1.0547,              0.0007922,              0.0007922,              0.0007922
                     64,                0.85041,                 1.4189,                0.59029,                 1.0308,                0.87631,                0.87439,                0.91726,                 0.7037,                0.87674,                0.86215,                0.90098,                0.61673,                0.88942,                 1.5835,                0.59707,                 1.0517,              0.0007724,              0.0007724,              0.0007724
                     65,                0.84427,                  1.412,                 0.5866,                 1.0252,                0.88315,                0.86533,                0.91878,                 0.7087,                0.87955,                0.86129,                0.90896,                0.63637,                0.88011,                 1.5834,                0.60191,                 1.0523,              0.0007526,              0.0007526,              0.0007526
                     66,                0.85149,                 1.4282,                0.58583,                 1.0335,                0.88329,                0.85149,                 0.9157,                0.70194,                 0.8815,                0.84753,                0.90746,                0.63673,                0.89301,                 1.5898,                0.60036,                 1.0589,              0.0007328,              0.0007328,              0.0007328
                     67,                0.83677,                 1.4115,                0.57683,                 1.0195,                 0.8791,                0.85739,                0.91758,                 0.7081,                0.87578,                0.85674,                0.90972,                0.63597,                0.88114,                 1.5781,                0.58906,                 1.0471,               0.000713,               0.000713,               0.000713
                     68,                0.83926,                 1.3984,                0.57067,                 1.0353,                0.87278,                0.86386,                0.91735,                0.70767,                0.87162,                0.86272,                0.90716,                0.63111,                0.88191,                 1.5856,                0.58813,                 1.0536,              0.0006932,              0.0006932,              0.0006932
                     69,                0.83832,                 1.3942,                0.56391,                  1.029,                0.88059,                0.87378,                0.91981,                0.70898,                0.87357,                0.87184,                0.90993,                0.63506,                0.87754,                 1.6114,                0.58994,                 1.0541,              0.0006734,              0.0006734,              0.0006734
                     70,                0.84544,                 1.4202,                0.56792,                 1.0301,                0.87601,                 0.8687,                0.91679,                0.70549,                0.87166,                0.86614,                0.90869,                0.63184,                0.87002,                 1.5958,                0.59734,                  1.051,              0.0006536,              0.0006536,              0.0006536
                     71,                0.83105,                  1.375,                0.56185,                 1.0137,                0.86949,                0.87639,                0.91718,                0.70291,                0.86638,                0.87326,                0.90976,                 0.6355,                0.88441,                 1.5743,                0.59161,                 1.0572,              0.0006338,              0.0006338,              0.0006338
                     72,                0.82993,                 1.3863,                0.55056,                 1.0125,                0.86977,                0.87694,                0.91881,                0.70681,                0.87161,                0.87069,                0.90979,                0.63623,                0.88005,                 1.5684,                0.59464,                 1.0425,               0.000614,               0.000614,               0.000614
                     73,                0.82902,                 1.3699,                0.56617,                 1.0134,                0.86154,                0.88258,                0.91309,                0.70013,                0.85764,                 0.8751,                0.90442,                0.62902,                0.88476,                 1.5917,                0.60041,                   1.05,              0.0005942,              0.0005942,              0.0005942
                     74,                0.80811,                 1.3508,                0.53938,                  1.007,                 0.8766,                0.86193,                0.91945,                0.71061,                 0.8744,                0.85674,                0.91068,                0.63864,                 0.8692,                 1.5652,                0.57803,                 1.0435,              0.0005744,              0.0005744,              0.0005744
                     75,                0.82362,                 1.3794,                0.55616,                 1.0167,                0.86975,                 0.8781,                0.91247,                0.70011,                0.87782,                0.85944,                0.90576,                0.63371,                0.89023,                 1.6034,                0.59105,                 1.0605,              0.0005546,              0.0005546,              0.0005546
                     76,                0.81222,                 1.3629,                0.53658,                 1.0167,                0.86582,                0.88034,                0.91525,                0.70366,                0.86409,                0.87281,                 0.9092,                0.63551,                0.88928,                 1.5908,                0.58426,                  1.061,              0.0005348,              0.0005348,              0.0005348
                     77,                0.79688,                 1.3262,                0.53122,                 1.0059,                0.87484,                0.87981,                0.92029,                0.70997,                0.87793,                 0.8685,                0.91172,                0.64181,                0.87581,                 1.5663,                0.57731,                 1.0483,               0.000515,               0.000515,               0.000515
                     78,                0.81393,                 1.3429,                0.53377,                 1.0032,                0.87093,                 0.8761,                0.91692,                0.70639,                0.86764,                0.87326,                0.91057,                0.63301,                0.87366,                 1.5676,                0.57096,                 1.0442,              0.0004952,              0.0004952,              0.0004952
                     79,                0.81946,                 1.3635,                0.54637,                 1.0092,                0.86851,                0.87696,                0.91846,                0.71128,                0.86533,                0.87326,                0.91195,                0.63943,                0.88216,                 1.5758,                0.59557,                 1.0487,              0.0004754,              0.0004754,              0.0004754
                     80,                0.81666,                 1.3564,                0.53392,                 1.0114,                0.87592,                0.86856,                0.91188,                0.70463,                 0.8713,                0.86195,                0.90339,                0.63447,                 0.8738,                 1.5659,                0.59048,                 1.0431,              0.0004556,              0.0004556,              0.0004556
